"id","ts","lat","lon","pm25"
"169","2024-04-25 16:03:40","13.8524","100.562","56"
"170","2024-04-25 17:16:30","13.8524","100.562","54"
"171","2024-04-25 17:16:30","13.8524","100.562","54"
"172","2024-04-25 19:28:01","13.8524","100.562","54"
"173","2024-04-25 20:16:47","13.8524","100.562","56"
"174","2024-04-25 21:26:50","13.8524","100.562","59"
"175","2024-04-25 22:16:47","13.8524","100.562","54"
"176","2024-04-25 23:06:47","13.8524","100.562","59"
"177","2024-04-25 23:31:57","13.8524","100.562","59"
"178","2024-04-26 01:27:08","13.8524","100.562","61"
"179","2024-04-26 02:27:08","13.8524","100.562","61"
"180","2024-04-26 03:27:08","13.8524","100.562","63"
"181","2024-04-26 04:27:08","13.8524","100.562","65"
"182","2024-04-26 05:27:08","13.8524","100.562","65"
"183","2024-04-26 06:27:13","13.8524","100.562","65"
"184","2024-04-26 07:17:09","13.8524","100.562","65"
"185","2024-04-26 08:27:08","13.8524","100.562","67"
"186","2024-04-26 09:25:56","13.8524","100.562","71"
"187","2024-04-26 10:25:58","13.8524","100.562","76"
"188","2024-04-26 11:25:57","13.8524","100.562","84"
"189","2024-04-26 12:25:57","13.8524","100.562","88"
"190","2024-04-26 13:25:57","13.8524","100.562","86"
"191","2024-04-26 14:25:56","13.8524","100.562","84"
"192","2024-04-26 15:25:57","13.8524","100.562","84"
"193","2024-04-26 16:25:56","13.8524","100.562","82"
"194","2024-04-26 17:15:57","13.8524","100.562","84"
"195","2024-04-26 18:05:56","13.8524","100.562","65"
"196","2024-04-26 19:25:55","13.8524","100.562","59"
"197","2024-04-26 20:25:56","13.8524","100.562","63"
"198","2024-04-26 21:25:56","13.8524","100.562","61"
"199","2024-04-26 22:05:58","13.8524","100.562","59"
"200","2024-04-26 23:25:56","13.8524","100.562","59"
"201","2024-04-27 00:25:58","13.8524","100.562","61"
"202","2024-04-27 01:25:57","13.8524","100.562","65"
"203","2024-04-27 02:05:56","13.8524","100.562","63"
"204","2024-04-27 03:25:57","13.8524","100.562","65"
"205","2024-04-27 04:25:57","13.8524","100.562","69"
"206","2024-04-27 05:25:57","13.8524","100.562","73"
"207","2024-04-27 06:25:56","13.8524","100.562","76"
"208","2024-04-27 07:25:55","13.8524","100.562","82"
"209","2024-04-27 08:25:56","13.8524","100.562","86"
"210","2024-04-27 09:25:56","13.8524","100.562","95"
"211","2024-04-27 10:25:57","13.8524","100.562","104"
"212","2024-04-27 11:25:57","13.8524","100.562","104"
"213","2024-04-27 12:25:56","13.8524","100.562","101"
"214","2024-04-27 13:25:59","13.8524","100.562","106"
"215","2024-04-27 14:25:56","13.8524","100.562","106"
"216","2024-04-27 15:25:56","13.8524","100.562","97"
"217","2024-04-27 16:25:57","13.8524","100.562","90"
"218","2024-04-27 17:25:56","13.8524","100.562","93"
"219","2024-04-27 18:25:57","13.8524","100.562","93"
"220","2024-04-27 19:25:56","13.8524","100.562","84"
"221","2024-04-27 20:25:57","13.8524","100.562","71"
"222","2024-04-27 21:25:56","13.8524","100.562","63"
"223","2024-04-27 22:15:56","13.8524","100.562","59"
"224","2024-04-27 22:45:56","13.8524","100.562","59"
"225","2024-04-28 00:15:56","13.8524","100.562","56"
"226","2024-04-28 01:15:56","13.8524","100.562","59"
"227","2024-04-28 02:25:57","13.8524","100.562","59"
"228","2024-04-28 03:15:55","13.8524","100.562","59"
"229","2024-04-28 04:05:57","13.8524","100.562","63"
"230","2024-04-28 05:15:57","13.8524","100.562","67"
"231","2024-04-28 06:25:57","13.8524","100.562","65"
"232","2024-04-28 07:25:56","13.8524","100.562","71"
"233","2024-04-28 08:15:56","13.8524","100.562","82"
"234","2024-04-28 09:15:56","13.8524","100.562","84"
"235","2024-04-28 10:25:56","13.8524","100.562","86"
"236","2024-04-28 11:25:57","13.8524","100.562","84"
"237","2024-04-28 12:25:57","13.8524","100.562","84"
"238","2024-04-28 13:15:56","13.8524","100.562","80"
"239","2024-04-28 14:05:56","13.8524","100.562","73"
"240","2024-04-28 15:26:17","13.8524","100.562","71"
"241","2024-04-28 16:26:18","13.8524","100.562","65"
"242","2024-04-28 17:26:17","13.8524","100.562","59"
"243","2024-04-28 18:26:17","13.8524","100.562","59"
"244","2024-04-28 19:26:17","13.8524","100.562","59"
"245","2024-04-28 20:26:16","13.8524","100.562","50"
"246","2024-04-28 21:26:16","13.8524","100.562","50"
"247","2024-04-28 22:26:16","13.8524","100.562","50"
"248","2024-04-28 23:26:18","13.8524","100.562","50"
"249","2024-04-29 00:26:17","13.8524","100.562","52"
"250","2024-04-29 01:26:17","13.8524","100.562","52"
"251","2024-04-29 02:26:16","13.8524","100.562","52"
"252","2024-04-29 03:26:17","13.8524","100.562","52"
"253","2024-04-29 04:26:17","13.8524","100.562","56"
"254","2024-04-29 05:26:16","13.8524","100.562","59"
"255","2024-04-29 06:06:17","13.8524","100.562","65"
"256","2024-04-29 06:06:17","13.8524","100.562","65"
"257","2024-04-29 06:06:17","13.8524","100.562","65"
"258","2024-04-29 06:06:17","13.8524","100.562","65"
"259","2024-04-29 10:26:27","13.8524","100.562","88"
"260","2024-04-29 10:56:27","13.8524","100.562","84"
"261","2024-04-29 12:26:27","13.8524","100.562","84"
"262","2024-04-29 13:26:26","13.8524","100.562","78"
"263","2024-04-29 14:26:26","13.8524","100.562","76"
